From	To	Species	Gene Name
NM_001130912	SUGT1	Homo sapiens	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone(SUGT1)
NM_001130913	KRBOX5	Homo sapiens	KRAB box domain containing 5(KRBOX5)
NM_001130914	BTG3	Homo sapiens	BTG anti-proliferation factor 3(BTG3)
NM_013399	CDIP1	Homo sapiens	cell death inducing p53 target 1(CDIP1)
NM_013398	ZNF224	Homo sapiens	zinc finger protein 224(ZNF224)
NM_001130910	CCRL2	Homo sapiens	C-C motif chemokine receptor like 2(CCRL2)
NM_052999	CMTM1	Homo sapiens	CKLF like MARVEL transmembrane domain containing 1(CMTM1)
NM_052998	AZIN2	Homo sapiens	antizyme inhibitor 2(AZIN2)
NM_052997	ANKRD30A	Homo sapiens	ankyrin repeat domain 30A(ANKRD30A)
NM_052996	PRDM7	Homo sapiens	PR/SET domain 7(PRDM7)
NM_052995	CLRN1	Homo sapiens	clarin 1(CLRN1)
NM_052990	IFT122	Homo sapiens	intraflagellar transport 122(IFT122)
NM_052989	IFT122	Homo sapiens	intraflagellar transport 122(IFT122)
NM_052988	CDK10	Homo sapiens	cyclin dependent kinase 10(CDK10)
NM_052987	CDK10	Homo sapiens	cyclin dependent kinase 10(CDK10)
NM_052985	IFT122	Homo sapiens	intraflagellar transport 122(IFT122)
NM_037370	CCNDBP1	Homo sapiens	cyclin D1 binding protein 1(CCNDBP1)
NM_001129900	KRBOX4	Homo sapiens	KRAB box domain containing 4(KRBOX4)
NM_001129908	GASK1A	Homo sapiens	golgi associated kinase 1A(GASK1A)
NM_001129907	TMPRSS11BNL	Homo sapiens	TMPRSS11B N-terminal like (pseudogene)(TMPRSS11BNL)
NM_052978	TRIM9	Homo sapiens	tripartite motif containing 9(TRIM9)
NM_001386	DPYSL2	Homo sapiens	dihydropyrimidinase like 2(DPYSL2)
NM_052972	LRG1	Homo sapiens	leucine rich alpha-2-glycoprotein 1(LRG1)
NM_013375	ABT1	Homo sapiens	activator of basal transcription 1(ABT1)
NM_001387	DPYSL3	Homo sapiens	dihydropyrimidinase like 3(DPYSL3)
NM_013374	PDCD6IP	Homo sapiens	programmed cell death 6 interacting protein(PDCD6IP)
NM_052971	LEAP2	Homo sapiens	liver enriched antimicrobial peptide 2(LEAP2)
NM_001388	DRG2	Homo sapiens	developmentally regulated GTP binding protein 2(DRG2)
NM_052970	HSPA12B	Homo sapiens	heat shock protein family A (Hsp70) member 12B(HSPA12B)
NM_013373	ZDHHC8	Homo sapiens	zinc finger DHHC-type palmitoyltransferase 8(ZDHHC8)
NM_001389	DSCAM	Homo sapiens	DS cell adhesion molecule(DSCAM)
NM_013372	GREM1	Homo sapiens	gremlin 1, DAN family BMP antagonist(GREM1)
NM_013371	IL19	Homo sapiens	interleukin 19(IL19)
NM_013370	OSGIN1	Homo sapiens	oxidative stress induced growth inhibitor 1(OSGIN1)
NM_001390	DTNA	Homo sapiens	dystrobrevin alpha(DTNA)
NM_001391	DTNA	Homo sapiens	dystrobrevin alpha(DTNA)
NM_001392	DTNA	Homo sapiens	dystrobrevin alpha(DTNA)
NM_013369	DNMT3L	Homo sapiens	DNA methyltransferase 3 like(DNMT3L)
NM_001393	ECM2	Homo sapiens	extracellular matrix protein 2(ECM2)
NM_013368	SERTAD3	Homo sapiens	SERTA domain containing 3(SERTAD3)
NM_001394	DUSP4	Homo sapiens	dual specificity phosphatase 4(DUSP4)
NM_013367	ANAPC4	Homo sapiens	anaphase promoting complex subunit 4(ANAPC4)
NM_001395	DUSP9	Homo sapiens	dual specificity phosphatase 9(DUSP9)
NM_013366	ANAPC2	Homo sapiens	anaphase promoting complex subunit 2(ANAPC2)
NM_001396	DYRK1A	Homo sapiens	dual specificity tyrosine phosphorylation regulated kinase 1A(DYRK1A)
NM_001007470	TRPM3	Homo sapiens	transient receptor potential cation channel subfamily M member 3(TRPM3)
NM_013365	GGA1	Homo sapiens	golgi associated, gamma adaptin ear containing, ARF binding protein 1(GGA1)
NM_001007471	TRPM3	Homo sapiens	transient receptor potential cation channel subfamily M member 3(TRPM3)
NM_001007468	SMARCB1	Homo sapiens	SWI/SNF related BAF chromatin remodeling complex subunit B1(SMARCB1)
NM_052969	RPL39L	Homo sapiens	ribosomal protein L39 like(RPL39L)
NM_001007469	HCST	Homo sapiens	hematopoietic cell signal transducer(HCST)
NM_052968	APOA5	Homo sapiens	apolipoprotein A5(APOA5)
NM_001081455	P2RY14	Homo sapiens	purinergic receptor P2Y14(P2RY14)
NM_052966	NIBAN1	Homo sapiens	niban apoptosis regulator 1(NIBAN1)
NM_052965	TSEN15	Homo sapiens	tRNA splicing endonuclease subunit 15(TSEN15)
NM_052964	CLNK	Homo sapiens	cytokine dependent hematopoietic cell linker(CLNK)
NM_052963	TOP1MT	Homo sapiens	DNA topoisomerase I mitochondrial(TOP1MT)
NM_052962	IL22RA2	Homo sapiens	interleukin 22 receptor subunit alpha 2(IL22RA2)
NM_001375	DNASE2	Homo sapiens	deoxyribonuclease 2, lysosomal(DNASE2)
NM_052961	SLC26A8	Homo sapiens	solute carrier family 26 member 8(SLC26A8)
NM_013364	PNMA3	Homo sapiens	PNMA family member 3(PNMA3)
NM_001376	DYNC1H1	Homo sapiens	dynein cytoplasmic 1 heavy chain 1(DYNC1H1)
NM_001081450	LILRB3	Homo sapiens	leukocyte immunoglobulin like receptor B3(LILRB3)
NM_052960	RBP7	Homo sapiens	retinol binding protein 7(RBP7)
NM_013363	PCOLCE2	Homo sapiens	procollagen C-endopeptidase enhancer 2(PCOLCE2)
NM_013362	ZNF225	Homo sapiens	zinc finger protein 225(ZNF225)
NM_001378	DYNC1I2	Homo sapiens	dynein cytoplasmic 1 intermediate chain 2(DYNC1I2)
NM_013361	ZNF223	Homo sapiens	zinc finger protein 223(ZNF223)
NM_001379	DNMT1	Homo sapiens	DNA methyltransferase 1(DNMT1)
NM_013360	ZNF222	Homo sapiens	zinc finger protein 222(ZNF222)
NM_001380	DOCK1	Homo sapiens	dedicator of cytokinesis 1(DOCK1)
NM_013359	ZNF221	Homo sapiens	zinc finger protein 221(ZNF221)
NM_001381	DOK1	Homo sapiens	docking protein 1(DOK1)
NM_013358	PADI1	Homo sapiens	peptidyl arginine deiminase 1(PADI1)
NM_001382	DPAGT1	Homo sapiens	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1(DPAGT1)
NM_013357	PURG	Homo sapiens	purine rich element binding protein G(PURG)
NM_001383	DPH1	Homo sapiens	diphthamide biosynthesis 1(DPH1)
NM_013356	SLC16A8	Homo sapiens	solute carrier family 16 member 8(SLC16A8)
NM_001384	DPH2	Homo sapiens	diphthamide biosynthesis 2(DPH2)
NM_013355	PKN3	Homo sapiens	protein kinase N3(PKN3)
NM_001385	DPYS	Homo sapiens	dihydropyrimidinase(DPYS)
NM_013354	CNOT7	Homo sapiens	CCR4-NOT transcription complex subunit 7(CNOT7)
NM_001007464	RWDD1	Homo sapiens	RWD domain containing 1(RWDD1)
NM_001007466	TULP4	Homo sapiens	TUB like protein 4(TULP4)
NM_001007467	SFI1	Homo sapiens	SFI1 centrin binding protein(SFI1)
NM_052958	C8orf34	Homo sapiens	chromosome 8 open reading frame 34(C8orf34)
NM_052957	GCNA	Homo sapiens	germ cell nuclear acidic peptidase(GCNA)
NM_052956	ACSM1	Homo sapiens	acyl-CoA synthetase medium chain family member 1(ACSM1)
NM_052954	CYYR1	Homo sapiens	cysteine and tyrosine rich 1(CYYR1)
NM_052953	LRRC3B	Homo sapiens	leucine rich repeat containing 3B(LRRC3B)
NM_052952	DIRC1	Homo sapiens	disrupted in renal carcinoma 1(DIRC1)
NM_052951	DNTTIP1	Homo sapiens	deoxynucleotidyltransferase terminal interacting protein 1(DNTTIP1)
NM_052950	WDFY2	Homo sapiens	WD repeat and FYVE domain containing 2(WDFY2)
NM_013397	PRICKLE4	Homo sapiens	prickle planar cell polarity protein 4(PRICKLE4)
NM_013396	USP25	Homo sapiens	ubiquitin specific peptidase 25(USP25)
NM_013393	MRM2	Homo sapiens	mitochondrial rRNA methyltransferase 2(MRM2)
NM_013392	NRBP1	Homo sapiens	nuclear receptor binding protein 1(NRBP1)
NM_013391	DMGDH	Homo sapiens	dimethylglycine dehydrogenase(DMGDH)
NM_013390	CEMIP2	Homo sapiens	cell migration inducing hyaluronidase 2(CEMIP2)
NM_013389	NPC1L1	Homo sapiens	NPC1 like intracellular cholesterol transporter 1(NPC1L1)
NM_013388	PREB	Homo sapiens	prolactin regulatory element binding(PREB)
NM_013387	UQCR10	Homo sapiens	ubiquinol-cytochrome c reductase, complex III subunit X(UQCR10)
NM_052959	PANX3	Homo sapiens	pannexin 3(PANX3)
NM_052947	ALPK2	Homo sapiens	alpha kinase 2(ALPK2)
NM_052946	NOSTRIN	Homo sapiens	nitric oxide synthase trafficking(NOSTRIN)
NM_052945	TNFRSF13C	Homo sapiens	TNF receptor superfamily member 13C(TNFRSF13C)
NM_052944	SLC5A11	Homo sapiens	solute carrier family 5 member 11(SLC5A11)
NM_052943	TENT5B	Homo sapiens	terminal nucleotidyltransferase 5B(TENT5B)
NM_052942	GBP5	Homo sapiens	guanylate binding protein 5(GBP5)
NM_052941	GBP4	Homo sapiens	guanylate binding protein 4(GBP4)
NM_052940	LRRC42	Homo sapiens	leucine rich repeat containing 42(LRRC42)
NM_001397	ECE1	Homo sapiens	endothelin converting enzyme 1(ECE1)
NM_013386	SLC25A24	Homo sapiens	solute carrier family 25 member 24(SLC25A24)
NM_001398	ECH1	Homo sapiens	enoyl-CoA hydratase 1(ECH1)
NM_013385	CYTH4	Homo sapiens	cytohesin 4(CYTH4)
NM_001399	EDA	Homo sapiens	ectodysplasin A(EDA)
NM_013382	POMT2	Homo sapiens	protein O-mannosyltransferase 2(POMT2)
NM_013381	TRHDE	Homo sapiens	thyrotropin releasing hormone degrading enzyme(TRHDE)
NM_013380	ZNF112	Homo sapiens	zinc finger protein 112(ZNF112)
NM_013379	DPP7	Homo sapiens	dipeptidyl peptidase 7(DPP7)
NM_013378	VPREB3	Homo sapiens	V-set pre-B cell surrogate light chain 3(VPREB3)
NM_013377	PDZRN4	Homo sapiens	PDZ domain containing ring finger 4(PDZRN4)
NM_013376	SERTAD1	Homo sapiens	SERTA domain containing 1(SERTAD1)
NM_052948	ARHGAP33	Homo sapiens	Rho GTPase activating protein 33(ARHGAP33)
NM_052936	ATG4A	Homo sapiens	autophagy related 4A cysteine peptidase(ATG4A)
NM_052935	NT5C3B	Homo sapiens	5'-nucleotidase, cytosolic IIIB(NT5C3B)
NM_052934	SLC26A9	Homo sapiens	solute carrier family 26 member 9(SLC26A9)
NM_052933	TSGA13	Homo sapiens	testis specific 13(TSGA13)
NM_052932	TMEM123	Homo sapiens	transmembrane protein 123(TMEM123)
NM_015990	KLHL5	Homo sapiens	kelch like family member 5(KLHL5)
NM_015991	C1QA	Homo sapiens	complement C1q A chain(C1QA)
NM_052931	SLAMF6	Homo sapiens	SLAM family member 6(SLAMF6)
NM_015993	PLLP	Homo sapiens	plasmolipin(PLLP)
NM_001343	DAB2	Homo sapiens	DAB adaptor protein 2(DAB2)
NM_013330	NME7	Homo sapiens	NME/NM23 family member 7(NME7)
NM_001344	DAD1	Homo sapiens	defender against cell death 1(DAD1)
NM_001345	DGKA	Homo sapiens	diacylglycerol kinase alpha(DGKA)
NM_001346	DGKG	Homo sapiens	diacylglycerol kinase gamma(DGKG)
NM_001347	DGKQ	Homo sapiens	diacylglycerol kinase theta(DGKQ)
NM_001348	DAPK3	Homo sapiens	death associated protein kinase 3(DAPK3)
NM_001349	DARS1	Homo sapiens	aspartyl-tRNA synthetase 1(DARS1)
NM_013328	PYCR2	Homo sapiens	pyrroline-5-carboxylate reductase 2(PYCR2)
NM_013327	PARVB	Homo sapiens	parvin beta(PARVB)
NM_013326	RMC1	Homo sapiens	regulator of MON1-CCZ1(RMC1)
NM_013325	ATG4B	Homo sapiens	autophagy related 4B cysteine peptidase(ATG4B)
NM_013324	CISH	Homo sapiens	cytokine inducible SH2 containing protein(CISH)
NM_001350	DAXX	Homo sapiens	death domain associated protein(DAXX)
NM_013323	SNX11	Homo sapiens	sorting nexin 11(SNX11)
NM_013322	SNX10	Homo sapiens	sorting nexin 10(SNX10)
NM_001352	DBP	Homo sapiens	D-box binding PAR bZIP transcription factor(DBP)
NM_013321	SNX8	Homo sapiens	sorting nexin 8(SNX8)
NM_015983	UBE2D4	Homo sapiens	ubiquitin conjugating enzyme E2 D4(UBE2D4)
NM_015984	UCHL5	Homo sapiens	ubiquitin C-terminal hydrolase L5(UCHL5)
NM_015985	ANGPT4	Homo sapiens	angiopoietin 4(ANGPT4)
NM_015986	CRLF3	Homo sapiens	cytokine receptor like factor 3(CRLF3)
NM_015987	HEBP1	Homo sapiens	heme binding protein 1(HEBP1)
NM_052939	FCRL3	Homo sapiens	Fc receptor like 3(FCRL3)
NM_052938	FCRL1	Homo sapiens	Fc receptor like 1(FCRL1)
NM_015989	CSAD	Homo sapiens	cysteine sulfinic acid decarboxylase(CSAD)
NM_052937	PCMTD1	Homo sapiens	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1(PCMTD1)
NM_013329	PAXBP1	Homo sapiens	PAX3 and PAX7 binding protein 1(PAXBP1)
NM_052925	LENG8	Homo sapiens	leukocyte receptor cluster member 8(LENG8)
NM_052924	RHPN1	Homo sapiens	rhophilin Rho GTPase binding protein 1(RHPN1)
NM_052923	SCAND3	Homo sapiens	SCAN domain containing 3(SCAND3)
NM_015980	NSG2	Homo sapiens	neuronal vesicle trafficking associated 2(NSG2)
NM_015981	CAMK2A	Homo sapiens	calcium/calmodulin dependent protein kinase II alpha(CAMK2A)
NM_015982	YBX2	Homo sapiens	Y-box binding protein 2(YBX2)
NM_003994	KITLG	Homo sapiens	KIT ligand(KITLG)
NM_013320	HCFC2	Homo sapiens	host cell factor C2(HCFC2)
NM_003993	CLK2	Homo sapiens	CDC like kinase 2(CLK2)
