Gene ID,Log2Ratio,p-value,Max RPKM
NM_130786,0.14,0.868,2931.69
NR_015380,-0.99,0.224,1649.26
NM_138932,-0.02,0.983,1.67
NM_014576,-0.02,0.985,1.77
NM_138933,0.02,0.979,1.83
NM_000014,-4.79,0.102,239.75
NR_026971,-0.67,0.617,213.79
NM_144670,-5.96,0.13,610.64
NM_001080438,-1.97,0.347,3.91
NM_017436,-1.09,0.502,6186.83
NM_016161,2.02,0.0597,149.85
NM_015665,-0.27,0.568,13330.34
NM_023928,-1.42,0.0103,22828.45
NR_024035,-1.06,0.596,6.13
NM_001086,2.29,0.249,323.61
NM_001103170,-3.7,0.383,45.69
NM_001103169,-1.77,0.503,11.28
NM_001013630,-2.34,0.347,5.07
NM_016228,-0.83,0.465,4791.17
NM_182662,0.72,0.532,198.72
NM_153698,1.58,0.00831,7879.8
NM_024666,-0.77,0.0126,46757.06
NM_014911,0.9,0.0203,26426.36
NM_024684,-0.01,0.982,2117.73
NM_001087,0.12,0.864,14076.24
NM_001088,-1.62,0.146,31.85
NM_015511,0.12,0.825,10491.96
NM_001025357,2.02,0.444,14788.5
NM_001605,-0.57,0.109,273101.0
NM_020745,0.36,0.487,11876.0
NM_181806,-0.17,0.748,3339.36
NM_015423,0.7,0.102,37787.69
NM_005763,4.09,0.174,6988.43
NM_012138,1.04,0.118,27563.08
NM_001080395,-0.5,0.692,760.71
NR_027255,-3.85,0.0692,14.43
NM_020686,-6.44,0.00318,103245.03
NM_000663,-5.94,0.0102,5492.22
NM_001127448,-4.12,0.13,3773.67
NM_005502,-0.1,0.942,9220.95
NM_080282,1.22,0.269,299.74
NR_002451,-0.19,0.706,1773.11
NM_173076,-10.68,0.00579,197668.99
NM_015657,-10.21,0.00742,22263.16
NM_152701,1.95,0.295,726.55
NR_003574,-2.07,0.0195,471.87
NM_212533,-2.4,0.0108,12880.24
NM_001606,-1.36,0.0938,29460.89
NM_001089,-2.55,0.0427,136018.56
NM_000350,-3.43,0.367,3151.37
NM_018672,-2.64,0.0934,11369.37
NM_172232,0.12,0.936,828.47
NM_080284,3.33,0.391,736.66
NM_019112,-1.87,0.00886,10120.97
NM_007168,3.22,0.152,9.34
NM_080283,-0.54,0.264,159.03
NM_000927,-0.52,0.763,327.66
NM_012089,-0.26,0.699,25693.02
NM_003742,-3.49,0.305,11.23
NM_018849,-6.64,0.00336,222.82
NM_018850,-6.42,0.0319,186.4
NM_000443,-6.17,0.00966,164.49
NM_001163942,-0.52,0.627,30.05
NM_178559,-0.34,0.68,67.21
NM_001163941,-0.15,0.852,71.9
NM_001163993,-0.84,0.347,0.56
NM_005689,-1.7,0.0727,25262.2
NM_004299,0.02,0.976,4475.96
NM_007188,-0.76,0.425,3644.48
NM_019625,-2.44,0.219,7448.45
NM_203444,-1.21,0.0561,4609.6
NM_019624,-0.78,0.438,2007.19
NM_019900,-0.5,0.232,4674.1
NM_004996,0.25,0.466,31906.51
NM_019899,0.39,0.395,7253.39
NM_019862,0.78,0.0125,13160.08
NM_019898,0.86,0.152,3783.54
NM_033450,0.98,0.315,2422.7
NM_033151,-9.34,0.0701,28627.09
NM_032583,-8.6,0.144,19314.07
NM_145186,-8.1,0.123,6071.2
NM_033226,-8.27,0.109,413.13
NR_003087,-6.22,0.172,381.97
NR_003088,-5.62,0.146,49.13
NM_000392,-2.63,0.181,41254.04
NM_003786,-0.37,0.817,20599.22
NM_001144070,0.37,0.779,3294.58
NM_001105515,1.54,0.0806,1872.45
NM_005845,3.2,0.00825,14491.97
NM_005688,-2.37,0.278,49518.14
NM_001023587,-0.39,0.631,2285.05
NM_001171,-8.15,0.0605,7696.35
NM_001079528,-6.15,0.0194,1140.19
NR_003569,-7.46,0.111,815.0
NR_023387,-5.1,0.0404,1893.89
NM_000352,-7.37,0.035,1693.4
NM_020297,3.02,0.0559,1199.06
NM_005691,4.13,0.0396,1313.22
NM_020298,6.23,0.0746,1073.0
