,Gene ID,Log2Ratio,p-value,Max RPKM,Entrez To,Official Gene Symbol To,Species,Gene Name
12,NM_023928,-1.42,0.0103,22828.45,65985,AACS,Homo sapiens,acetoacetyl-CoA synthetase(AACS)
36,NM_020686,-6.44,0.00318,103245.03,18,ABAT,Homo sapiens,4-aminobutyrate aminotransferase(ABAT)
37,NM_000663,-5.94,0.0102,5492.22,18,ABAT,Homo sapiens,4-aminobutyrate aminotransferase(ABAT)
42,NM_173076,-10.68,0.00579,197668.99,26154,ABCA12,Homo sapiens,ATP binding cassette subfamily A member 12(ABCA12)
43,NM_015657,-10.21,0.00742,22263.16,26154,ABCA12,Homo sapiens,ATP binding cassette subfamily A member 12(ABCA12)
45,NR_003574,-2.07,0.0195,471.87,650655,ABCA17P,Homo sapiens,"ATP binding cassette subfamily A member 17, pseudogene(ABCA17P)"
46,NM_212533,-2.4,0.0108,12880.24,20,ABCA2,Homo sapiens,ATP binding cassette subfamily A member 2(ABCA2)
48,NM_001089,-2.55,0.0427,136018.56,21,ABCA3,Homo sapiens,ATP binding cassette subfamily A member 3(ABCA3)
53,NM_019112,-1.87,0.00886,10120.97,10347,ABCA7,Homo sapiens,ATP binding cassette subfamily A member 7(ABCA7)
59,NM_018849,-6.64,0.00336,222.82,5244,ABCB4,Homo sapiens,ATP binding cassette subfamily B member 4(ABCB4)
60,NM_018850,-6.42,0.0319,186.4,5244,ABCB4,Homo sapiens,ATP binding cassette subfamily B member 4(ABCB4)
61,NM_000443,-6.17,0.00966,164.49,5244,ABCB4,Homo sapiens,ATP binding cassette subfamily B member 4(ABCB4)
92,NM_001079528,-6.15,0.0194,1140.19,368,ABCC6,Homo sapiens,ATP binding cassette subfamily C member 6(ABCC6)
94,NR_023387,-5.1,0.0404,1893.89,730013,ABCC6P2,Homo sapiens,ATP binding cassette subfamily C member 6 pseudogene 2(ABCC6P2)
95,NM_000352,-7.37,0.035,1693.4,6833,ABCC8,Homo sapiens,ATP binding cassette subfamily C member 8(ABCC8)
112,NM_207174,-4.89,0.0257,8464.62,9619,ABCG1,Homo sapiens,ATP binding cassette subfamily G member 1(ABCG1)
113,NM_016818,-4.83,0.0113,11652.5,9619,ABCG1,Homo sapiens,ATP binding cassette subfamily G member 1(ABCG1)
114,NM_207629,-2.83,0.0302,1640.7,9619,ABCG1,Homo sapiens,ATP binding cassette subfamily G member 1(ABCG1)
117,NM_207627,-1.94,0.0412,444.84,9619,ABCG1,Homo sapiens,ATP binding cassette subfamily G member 1(ABCG1)
123,NM_032604,-2.58,0.00417,1402.98,84696,ABHD1,Homo sapiens,abhydrolase domain containing 1(ABHD1)
125,NM_001145363,-3.13,0.000122,1154.58,83451,ABHD11,Homo sapiens,abhydrolase domain containing 11(ABHD11)
126,NM_148912,-2.76,0.00221,16143.17,83451,ABHD11,Homo sapiens,abhydrolase domain containing 11(ABHD11)
127,NM_148916,-2.74,9.24e-05,1496.14,83451,ABHD11,Homo sapiens,abhydrolase domain containing 11(ABHD11)
128,NM_148913,-2.49,4.88e-05,11490.6,83451,ABHD11,Homo sapiens,abhydrolase domain containing 11(ABHD11)
129,NM_001145364,-2.46,0.00563,4802.14,83451,ABHD11,Homo sapiens,abhydrolase domain containing 11(ABHD11)
145,NM_021214,-1.09,0.0187,31248.72,58489,ABHD17C,Homo sapiens,"abhydrolase domain containing 17C, depalmitoylase(ABHD17C)"
168,NM_001003408,-2.32,0.0313,6280.33,3983,ABLIM1,Homo sapiens,actin binding LIM protein 1(ABLIM1)
194,NR_002809,-2.2,0.0174,1479.88,338799,LINC01089,Homo sapiens,long intergenic non-protein coding RNA 1089(LINC01089)
205,NM_001136538,-1.96,0.00708,5552.88,80724,ACAD10,Homo sapiens,acyl-CoA dehydrogenase family member 10(ACAD10)
228,NM_024722,-1.85,0.0323,2296.08,79777,ACBD4,Homo sapiens,acyl-CoA binding domain containing 4(ACBD4)
229,NM_001135707,-1.63,0.00556,1430.09,79777,ACBD4,Homo sapiens,acyl-CoA binding domain containing 4(ACBD4)
231,NM_001042473,-1.43,0.00846,1544.64,91452,ACBD5,Homo sapiens,acyl-CoA binding domain containing 5(ACBD5)
242,NM_152830,-2.6,0.0169,265.82,1636,ACE,Homo sapiens,angiotensin I converting enzyme(ACE)
243,NM_021804,-2.4,0.00713,33.59,59272,ACE2,Homo sapiens,angiotensin converting enzyme 2(ACE2)
245,NM_001010887,-2.57,0.0171,4696.49,340485,ACER2,Homo sapiens,alkaline ceramidase 2(ACER2)
275,NM_004035,-2.38,0.00944,80848.58,51,ACOX1,Homo sapiens,acyl-CoA oxidase 1(ACOX1)
296,NM_001134194,-7.99,0.00897,532.69,55,ACP3,Homo sapiens,acid phosphatase 3(ACP3)
297,NM_001099,-4.54,0.00135,471.1,55,ACP3,Homo sapiens,acid phosphatase 3(ACP3)
298,NM_033068,-3.17,0.0449,27.03,93650,ACP4,Homo sapiens,acid phosphatase 4(ACP4)
300,NM_032489,-3.52,0.0418,224.56,84519,ACRBP,Homo sapiens,acrosin binding protein(ACRBP)
313,NM_025149,-4.03,0.00656,11531.78,80221,ACSF2,Homo sapiens,acyl-CoA synthetase family member 2(ACSF2)
324,NM_015256,-4.97,0.00518,44.18,23305,ACSL6,Homo sapiens,acyl-CoA synthetase long chain family member 6(ACSL6)
325,NM_001009185,-4.86,0.00495,41.83,23305,ACSL6,Homo sapiens,acyl-CoA synthetase long chain family member 6(ACSL6)
326,NM_052956,-8.74,0.0263,428.25,116285,ACSM1,Homo sapiens,acyl-CoA synthetase medium chain family member 1(ACSM1)
330,NM_202000,-2.94,0.00168,959.44,6296,ACSM3,Homo sapiens,acyl-CoA synthetase medium chain family member 3(ACSM3)
331,NM_005622,-2.52,0.0465,782.95,6296,ACSM3,Homo sapiens,acyl-CoA synthetase medium chain family member 3(ACSM3)
334,NM_032501,-3.38,0.0107,13674.76,84532,ACSS1,Homo sapiens,acyl-CoA synthetase short chain family member 1(ACSS1)
347,NM_001024675,-2.05,0.0134,2386.79,170487,ACTL10,Homo sapiens,actin like 10(ACTL10)
353,NM_006686,-4.27,0.0401,19.27,10880,ACTL7B,Homo sapiens,actin like 7B(ACTL7B)
377,NM_020327,-2.46,0.000177,2703.44,91,ACVR1B,Homo sapiens,activin A receptor type 1B(ACVR1B)
378,NM_004302,-2.24,6.29e-05,58094.39,91,ACVR1B,Homo sapiens,activin A receptor type 1B(ACVR1B)
379,NM_020328,-1.5,0.000377,1078.67,91,ACVR1B,Homo sapiens,activin A receptor type 1B(ACVR1B)
405,NM_207195,-4.75,0.0483,27725.02,8751,ADAM15,Homo sapiens,ADAM metallopeptidase domain 15(ADAM15)
406,NM_207196,-3.39,0.0153,8060.6,8751,ADAM15,Homo sapiens,ADAM metallopeptidase domain 15(ADAM15)
408,NM_207191,-2.57,0.0112,9385.17,8751,ADAM15,Homo sapiens,ADAM metallopeptidase domain 15(ADAM15)
471,NM_006869,-4.09,0.0475,4575.98,11033,ADAP1,Homo sapiens,ArfGAP with dual PH domains 1(ADAP1)
472,NM_018404,-1.7,0.0499,327.87,55803,ADAP2,Homo sapiens,ArfGAP with dual PH domains 2(ADAP2)
486,NM_012091,-1.06,0.0438,1835.4,23536,ADAT1,Homo sapiens,adenosine deaminase tRNA specific 1(ADAT1)
494,NM_024876,-1.35,0.0162,6131.15,79934,COQ8B,Homo sapiens,coenzyme Q8B(COQ8B)
502,NM_139247,-5.0,0.0461,16.99,196883,ADCY4,Homo sapiens,adenylate cyclase 4(ADCY4)
504,NM_015270,-2.43,0.00419,56491.29,112,ADCY6,Homo sapiens,adenylate cyclase 6(ADCY6)
536,NM_004797,-2.48,0.0383,131.69,9370,ADIPOQ,Homo sapiens,"adiponectin, C1Q and collagen domain containing(ADIPOQ)"
537,NM_015999,-1.11,0.0149,119357.05,51094,ADIPOR1,Homo sapiens,adiponectin receptor 1(ADIPOR1)
539,NM_006829,-7.06,0.0206,44550.43,10974,ADIRF,Homo sapiens,adipogenesis regulatory factor(ADIRF)
545,NM_181442,-1.0,0.0278,53205.1,23394,ADNP,Homo sapiens,activity dependent neuroprotector homeobox(ADNP)
550,NM_001048230,-4.39,0.02,1521.62,134,ADORA1,Homo sapiens,adenosine A1 receptor(ADORA1)
558,NM_199162,-2.54,0.0459,10625.76,113622,ADPRHL1,Homo sapiens,ADP-ribosylhydrolase like 1(ADPRHL1)
569,NM_000682,-4.16,0.00256,446.58,151,ADRA2B,Homo sapiens,adrenoceptor alpha 2B(ADRA2B)
570,NM_000683,-3.98,0.00341,10456.57,152,ADRA2C,Homo sapiens,adrenoceptor alpha 2C(ADRA2C)
580,NM_152328,-2.92,0.00784,2552.57,122622,ADSS1,Homo sapiens,adenylosuccinate synthase 1(ADSS1)
598,NM_005935,-1.17,0.0326,21817.77,4299,AFF1,Homo sapiens,ALF transcription elongation factor 1(AFF1)
607,NM_001010982,-1.02,0.0425,5962.81,125061,AFMID,Homo sapiens,arylformamidase(AFMID)
613,NM_203437,-1.28,0.000252,11719.55,54812,AFTPH,Homo sapiens,aftiphilin(AFTPH)
622,NM_133447,-2.58,0.00617,3752.26,119385,AGAP11,Homo sapiens,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 11(AGAP11)"
623,NM_001144000,-1.25,0.04,1548.84,729092,AGAP5,Homo sapiens,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5(AGAP5)"
691,NM_001130723,-2.33,0.00161,10026.05,23382,AHCYL2,Homo sapiens,adenosylhomocysteinase like 2(AHCYL2)
692,NM_001130722,-2.18,0.00277,9571.07,23382,AHCYL2,Homo sapiens,adenosylhomocysteinase like 2(AHCYL2)
713,NM_031426,-4.8,0.000152,49902.85,83543,AIF1L,Homo sapiens,allograft inflammatory factor 1 like(AIF1L)
726,NM_001039775,-4.25,0.0143,1718.48,55057,CRYBG2,Homo sapiens,crystallin beta-gamma domain containing 2(CRYBG2)
