,Gene ID,Log2Ratio,p-value,Max RPKM,Entrez To,Official Gene Symbol To,Species,Gene Name
20,NM_153698,1.58,0.00831,7879.8,195827,PRXL2C,Homo sapiens,peroxiredoxin like 2C(PRXL2C)
88,NM_005845,3.2,0.00825,14491.97,10257,ABCC4,Homo sapiens,ATP binding cassette subfamily C member 4 (PEL blood group)(ABCC4)
97,NM_005691,4.13,0.0396,1313.22,10060,ABCC9,Homo sapiens,ATP binding cassette subfamily C member 9(ABCC9)
106,NM_002940,1.67,0.0323,70591.98,6059,ABCE1,Homo sapiens,ATP binding cassette subfamily E member 1(ABCE1)
108,NM_001090,1.0,0.0274,16713.48,23,ABCF1,Homo sapiens,ATP binding cassette subfamily F member 1(ABCF1)
110,NM_007189,1.51,0.0109,77012.72,10061,ABCF2,Homo sapiens,ATP binding cassette subfamily F member 2(ABCF2)
135,NM_015407,1.09,0.0377,3397.02,25864,ABHD14A,Homo sapiens,abhydrolase domain containing 14A(ABHD14A)
139,NM_021160,1.85,0.0116,10006.61,7920,ABHD16A,Homo sapiens,"abhydrolase domain containing 16A, phospholipase(ABHD16A)"
162,NM_005157,2.89,0.0388,74856.02,25,ABL1,Homo sapiens,"ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)"
163,NM_005158,1.46,0.0428,12736.12,27,ABL2,Homo sapiens,"ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)"
164,NM_007314,1.77,0.0427,22462.23,27,ABL2,Homo sapiens,"ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)"
165,NM_001136001,2.18,0.035,728.87,27,ABL2,Homo sapiens,"ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)"
198,NM_006111,2.05,0.000189,19931.74,10449,ACAA2,Homo sapiens,acetyl-CoA acyltransferase 2(ACAA2)
211,NM_001608,2.8,0.0231,16.19,33,ACADL,Homo sapiens,acyl-CoA dehydrogenase long chain(ACADL)
224,NM_005891,1.61,0.00799,33708.63,39,ACAT2,Homo sapiens,acetyl-CoA acetyltransferase 2(ACAT2)
256,NM_020186,2.11,0.00328,13521.6,57001,SDHAF3,Homo sapiens,succinate dehydrogenase complex assembly factor 3(SDHAF3)
270,NM_007274,1.19,0.0385,16367.71,11332,ACOT7,Homo sapiens,acyl-CoA thioesterase 7(ACOT7)
274,NM_001037171,2.87,0.0236,6320.41,23597,ACOT9,Homo sapiens,acyl-CoA thioesterase 9(ACOT9)
319,NM_004458,3.9,0.0023,12821.51,2182,ACSL4,Homo sapiens,acyl-CoA synthetase long chain family member 4(ACSL4)
320,NM_022977,5.04,5.49e-05,35678.98,2182,ACSL4,Homo sapiens,acyl-CoA synthetase long chain family member 4(ACSL4)
338,NM_001100,1.06,0.0489,11361.4,58,ACTA1,Homo sapiens,"actin alpha 1, skeletal muscle(ACTA1)"
341,NM_001101,1.18,0.0464,3742311.58,60,ACTB,Homo sapiens,actin beta(ACTB)
343,NM_005159,1.34,0.0224,2415.32,70,ACTC1,Homo sapiens,actin alpha cardiac muscle 1(ACTC1)
357,NM_001102,2.25,7.98e-06,334142.16,87,ACTN1,Homo sapiens,actinin alpha 1(ACTN1)
361,NM_004924,1.25,0.00039,383962.0,81,ACTN4,Homo sapiens,actinin alpha 4(ACTN4)
369,NM_001040135,1.67,0.00236,1561.54,57180,ACTR3B,Homo sapiens,actin related protein 3B(ACTR3B)
373,NM_022899,1.08,0.00962,18964.44,93973,ACTR8,Homo sapiens,actin related protein 8(ACTR8)
376,NM_001111067,1.83,0.00769,25449.19,90,ACVR1,Homo sapiens,activin A receptor type 1(ACVR1)
404,NM_003474,11.82,0.0356,78689.3,8038,ADAM12,Homo sapiens,ADAM metallopeptidase domain 12(ADAM12)
449,NM_139056,8.87,0.0486,1807.32,170690,ADAMTS16,Homo sapiens,ADAM metallopeptidase with thrombospondin type 1 motif 16(ADAMTS16)
459,NM_197941,8.49,0.0276,20050.05,11174,ADAMTS6,Homo sapiens,ADAM metallopeptidase with thrombospondin type 1 motif 6(ADAMTS6)
487,NM_182503,1.38,0.0214,9817.69,134637,ADAT2,Homo sapiens,adenosine deaminase tRNA specific 2(ADAT2)
582,NM_001143948,4.81,0.0017,147.58,84830,ADTRP,Homo sapiens,androgen dependent TFPI regulating protein(ADTRP)
583,NM_032744,5.1,0.0215,184.38,84830,ADTRP,Homo sapiens,androgen dependent TFPI regulating protein(ADTRP)
594,NM_001146337,4.15,0.035,1235.37,134265,AFAP1L1,Homo sapiens,actin filament associated protein 1 like 1(AFAP1L1)
595,NM_152406,6.56,0.0299,10684.56,134265,AFAP1L1,Homo sapiens,actin filament associated protein 1 like 1(AFAP1L1)
621,NM_001042535,1.6,0.00573,10115.96,116988,AGAP3,Homo sapiens,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3(AGAP3)"
662,NM_020133,4.47,0.00688,10507.41,56895,AGPAT4,Homo sapiens,1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
664,NM_018361,2.1,0.0274,89525.29,55326,AGPAT5,Homo sapiens,1-acylglycerol-3-phosphate O-acyltransferase 5(AGPAT5)
667,NM_003659,3.46,0.0201,60133.09,8540,AGPS,Homo sapiens,alkylglycerone phosphate synthase(AGPS)
699,NM_001134831,1.47,0.0488,5009.94,54806,AHI1,Homo sapiens,Abelson helper integration site 1(AHI1)
702,NM_138420,3.03,0.049,160770.69,113146,AHNAK2,Homo sapiens,AHNAK nucleoprotein 2(AHNAK2)
703,NM_001621,2.09,0.00281,90418.38,196,AHR,Homo sapiens,aryl hydrocarbon receptor(AHR)
788,NM_018064,1.02,0.00346,24654.57,55122,AKIRIN2,Homo sapiens,akirin 2(AKIRIN2)
824,NM_000688,1.57,0.00543,14658.37,211,ALAS1,Homo sapiens,5'-aminolevulinate synthase 1(ALAS1)
839,NM_000692,1.49,0.00317,44359.41,219,ALDH1B1,Homo sapiens,aldehyde dehydrogenase 1 family member B1(ALDH1B1)
945,NM_001634,1.37,0.0318,71489.64,262,AMD1,Homo sapiens,adenosylmethionine decarboxylase 1(AMD1)
977,NM_139156,1.53,0.0133,41634.44,271,AMPD2,Homo sapiens,adenosine monophosphate deaminase 2(AMPD2)
978,NM_004037,1.78,0.0409,3283.18,271,AMPD2,Homo sapiens,adenosine monophosphate deaminase 2(AMPD2)
1043,NM_001127493,4.06,0.0484,475.83,287,ANK2,Homo sapiens,ankyrin 2(ANK2)
1044,NM_020977,4.07,0.046,341.89,287,ANK2,Homo sapiens,ankyrin 2(ANK2)
